"Animal","Young","Female","Male","Collective noun","Collateral adjective","Culinary noun for meat"
"A","","","","","",""
"Aardvark","cub","sow","boar","N/A","orycteropodian",""
"Albatross","chick","N/A","N/A","flock[6]","?",""
"","","","","rookery[7]","",""
"","","","","gam (when searching for mates)[8]","",""
"Alligator","hatchling","cow","bull","congregation[9]","eusuchian",""
"Alpaca[10]","cria","hembra","macho","herd","camelid",""
"Ant","larva","queen (fertile)","drone","army[11]","formic",""
"","pupa","worker","","bike[11]","myrmicine",""
"","","soldier","","colony[11][12]","",""
"","","","","nest[9]","",""
"","","","","swarm[11]","",""
"Anteater","pup","sow","boar","N/A","?",""
"Antelope","calf[13]","doe","buck","herd[11][14]","alcelaphine",""
"","","","","cluster[11][14]","bubaline",""
"","","","","tribe[11][14]","antilopine",""
"Ape","infant","N/A","N/A","shrewdness[2][9][14][15]","simian",""
"","","","","troop[9][11][14]","",""
"Armadillo","pup","sow","boar","N/A","cingulatan",""
"","baby","","","","",""
"Ass/donkey","foal","jenny","jack","herd[11]","asinine",""
"","","","","coffle[11][14]","",""
"","","","","drove[9][11][14]","",""
"","","","","pace[11][12][14]","",""
"B","","","","","",""
"Baboon","infant","babuina[16]","?","flange[17][note 1]","?",""
"","","","","troop[2][9][17]","",""
"Badger","cub","sow","boar","cete[2][9][12][17]","musteline",""
"","kit","","","colony[17]","",""
"Barracuda","N/A","N/A","N/A","school[18]","percesocine",""
"Bat","pup","N/A","N/A","cloud[17][19]","pteropine",""
"","","","","colony[12][17] ","noctillionine",""
"","","","","flock[20]","",""
"Bear (list)","cub[21]","sow","boar","sleuth[9][12][17]","ursine",""
"","","she-bear","","sloth[9][12][17]","",""
"Beaver","kit","N/A","N/A","family[9]","castoridine",""
"","kitten","","","colony[9][17]","",""
"","pup","","","","",""
"Bee","larva","queen","drone","cast (a second swarm)[17]","apic",""
"","pupa","worker [note 2]","","cluster (of workers around the queen)[17]","apian",""
"","","","","colony[17]","apiarian",""
"","","","","drift[2][17]","",""
"","","","","erst[2][17]","",""
"","","","","grist[9][17]","",""
"","","","","hive[2][9][17]","",""
"","","","","nest[9]","",""
"","","","","rabble[17]","",""
"","","","","stand[17]","",""
"","","","","swarm[2][9][17]","",""
"Bird (list)","chick","hen","cock","flock[2]","avian",""
"Also see Aves","","","","flight[2]","",""
"","","","","pod[2]","",""
"Bison","calf","cow","bull","herd","bovine",""
"","","","","","bubaline",""
"Boar (wild pig)","piglet","sow","?","herd[17][22]","?",""
"Also see Pig","farrow","","","singular[9][22]","",""
"","shoat/shote (just weaned)","","","","",""
"","","","","Groups of 12 or more","",""
"","","","","sounder[9][22]","",""
"Buffalo, African","calf","cow, heifer","bull","herd[9][12][17]","?",""
"(for American buffalo, seeBison)","","","","troop[9]","",""
"","","","","gang[9][12][17]","",""
"","","","","obstinancy[9][12][17]","",""
"Butterfly","caterpillar","?","?","flight[17]","pieridine",""
"","larva","","","flutter[9]","pierine",""
"","pupa","","","rabble[17]","lepidopteran",""
"","chrysalis","","","","",""
"C","","","","","",""
"Camel","calf","cow","bull","caravan[9]","camelid",""
"","","","","flock[9]","cameline",""
"","","","","herd","",""
"","","","","train[9]","",""
"Caribou","calf","doe","buck","herd","rangiferine",""
"Cassowary","hatchling","?","?","N/A","ratite",""
"","chick","","","","",""
"Cat (list)","kitten","molly","tom ","clowder[2][9]","feline",""
"","kit","queen","gib (castrated male)[23]","cluster[9]","",""
"","","pussy","","clutter[24]","",""
"","","","","glaring[2][9] ","",""
"","","","","pounce[9]","",""
"","","","","kindle (kittens)[25]","",""
"","","","","litter (kittens)","",""
"","","","","pillow (kittens)","",""
"Caterpillar","?","?","?","army[9][26]","?",""
"Cattle[note 3] (list)","calf[27]","cow[28]","bull","herd[9]","bovine[note 4]","beef"
"","","","","drove[9]","taurine (male)","veal"
"","","","","yoke (oxen)","vaccine (female)",""
